comparison,method,metric,eta,grid,steps,average_iterations,max_iterations,checkpoint
Picard linear iterations on M3,picard,linear,0.1,32,103,4.2233,8,checkpoints\M3_eta0.1_grid32_methodpicard.npz
Picard linear iterations on M3,picard,linear,0.1,64,129,5.48062,9,checkpoints\M3_eta0.1_grid64_methodpicard.npz
Picard linear iterations on M3,picard,linear,0.1,128,258,8.18992,12,checkpoints\M3_eta0.1_grid128_methodpicard.npz
Picard linear iterations on M3,picard,linear,0.5,32,137,8.62044,29,checkpoints\M3_eta0.5_grid32_methodpicard.npz
Picard linear iterations on M3,picard,linear,0.5,64,194,18.9124,38,checkpoints\M3_eta0.5_grid64_methodpicard.npz
Picard linear iterations on M3,picard,linear,0.5,128,301,32.6944,51,checkpoints\M3_eta0.5_grid128_methodpicard.npz
Picard nonlinear iterations on M3,picard,nonlinear,0.1,32,103,4.2233,8,checkpoints\M3_eta0.1_grid32_methodpicard.npz
Picard nonlinear iterations on M3,picard,nonlinear,0.1,64,129,5.48062,9,checkpoints\M3_eta0.1_grid64_methodpicard.npz
Picard nonlinear iterations on M3,picard,nonlinear,0.1,128,258,8.18992,12,checkpoints\M3_eta0.1_grid128_methodpicard.npz
Picard nonlinear iterations on M3,picard,nonlinear,0.5,32,137,8.15328,28,checkpoints\M3_eta0.5_grid32_methodpicard.npz
Picard nonlinear iterations on M3,picard,nonlinear,0.5,64,194,12.6753,34,checkpoints\M3_eta0.5_grid64_methodpicard.npz
Picard nonlinear iterations on M3,picard,nonlinear,0.5,128,301,18.7409,41,checkpoints\M3_eta0.5_grid128_methodpicard.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.1,32,103,2.93204,5,checkpoints\M3_eta0.1_grid32_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.1,64,129,3.86047,6,checkpoints\M3_eta0.1_grid64_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.1,128,258,6.21318,10,checkpoints\M3_eta0.1_grid128_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.1,256,605,9.24132,12,checkpoints\M3_eta0.1_grid256_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.5,32,137,5.81752,16,checkpoints\M3_eta0.5_grid32_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.5,64,194,9.23711,18,checkpoints\M3_eta0.5_grid64_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.5,128,301,12.8605,23,checkpoints\M3_eta0.5_grid128_methodnk2.npz
Newton-Krylov linear iterations on M3,nk2,linear,0.5,256,310,14.5097,25,checkpoints\M3_eta0.5_grid256_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.1,32,103,2.34951,3,checkpoints\M3_eta0.1_grid32_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.1,64,129,2.71318,3,checkpoints\M3_eta0.1_grid64_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.1,128,258,3.44574,5,checkpoints\M3_eta0.1_grid128_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.1,256,605,4.13884,5,checkpoints\M3_eta0.1_grid256_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.5,32,137,2.9708,5,checkpoints\M3_eta0.5_grid32_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.5,64,194,3.82474,5,checkpoints\M3_eta0.5_grid64_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.5,128,301,4.38206,6,checkpoints\M3_eta0.5_grid128_methodnk2.npz
Newton-Krylov nonlinear iterations on M3,nk2,nonlinear,0.5,256,310,4.60968,6,checkpoints\M3_eta0.5_grid256_methodnk2.npz
