variant,eta_target,grid,converged,t_final,steps,avg_linear,paper_linear,avg_nonlinear,paper_nonlinear,avg_linear_per_nonlinear,max_linear,max_nonlinear,peak_step,peak_time,peak_dt,peak_eta_measured,max_eta_measured,source_file
current,0.5,32,True,0.5,137,8.620437956,5.43,8.153284672,6.43,1.057296329,29,28,108,0.2574559112693935,0.0125092050194864,0.5174076468984864,0.5719221864917003,output\m3_picard_mg_linear\m3_picard_mg_current_eta0.5_grid32_steps.csv
paper_tol,0.5,32,True,0.5,137,8.153284672,5.43,8.153284672,6.43,1,28,28,108,0.2574559112693935,0.0125092050194864,0.5174076468984864,0.5719221864917003,output\m3_picard_mg_linear\m3_picard_mg_paper_tol_eta0.5_grid32_steps.csv
jacobi_5_5,0.5,32,True,0.5,137,8.160583942,5.43,8.160583942,6.43,1,28,28,108,0.257455911269147,0.01250920501946863,0.5174076468987002,0.5719221864910975,output\m3_picard_mg_linear\m3_picard_mg_jacobi_5_5_eta0.5_grid32_steps.csv
current,0.5,64,True,0.5,194,18.91237113,9.75,12.67525773,9.49,1.492069947,38,34,103,0.1407416194754401,0.005259940174658449,0.5499791570862606,0.5687958409203112,output\m3_picard_mg_linear\m3_picard_mg_current_eta0.5_grid64_steps.csv
paper_tol,0.5,64,True,0.5,194,13.90206186,9.75,12.69072165,9.49,1.095450853,34,34,103,0.1407416194754401,0.005259940174658449,0.5499791570862606,0.5687958409203112,output\m3_picard_mg_linear\m3_picard_mg_paper_tol_eta0.5_grid64_steps.csv
jacobi_5_5,0.5,64,True,0.5,194,12.65463918,9.75,12.65463918,9.49,1,34,34,103,0.1407416194754074,0.005259940174657607,0.549979157086393,0.5687958409196326,output\m3_picard_mg_linear\m3_picard_mg_jacobi_5_5_eta0.5_grid64_steps.csv
paper_tol_jacobi_5_5,0.5,64,True,0.5,194,12.65463918,9.75,12.65463918,9.49,1,34,34,103,0.1407416194754074,0.005259940174657607,0.549979157086393,0.5687958409196326,output\m3_picard_mg_linear\m3_picard_mg_paper_tol_jacobi_5_5_eta0.5_grid64_steps.csv
gs_3_3,0.5,64,True,0.5,194,12.64948454,9.75,12.64948454,9.49,1,34,34,103,0.1407416194754074,0.005259940174657583,0.5499791570863929,0.56879584091962,output\m3_picard_mg_linear\m3_picard_mg_gs_3_3_eta0.5_grid64_steps.csv
sgs_3_3,0.5,64,True,0.5,194,12.64948454,9.75,12.64948454,9.49,1,34,34,103,0.1407416194754074,0.005259940174657584,0.5499791570863927,0.5687958409196203,output\m3_picard_mg_linear\m3_picard_mg_sgs_3_3_eta0.5_grid64_steps.csv
paper_tol_sgs_3_3,0.5,64,True,0.5,194,12.64948454,9.75,12.64948454,9.49,1,34,34,103,0.1407416194754074,0.005259940174657584,0.5499791570863927,0.5687958409196203,output\m3_picard_mg_linear\m3_picard_mg_paper_tol_sgs_3_3_eta0.5_grid64_steps.csv
current,0.5,128,True,0.5,301,32.69435216,22.7,18.74086379,14.7,1.744548839,51,41,99,0.07819548548132495,0.002303856625447603,0.5317131163057902,0.581248831228901,output\m3_picard_mg_linear\m3_picard_mg_current_eta0.5_grid128_steps.csv
paper_tol,0.5,128,True,0.5,301,29.07973422,22.7,18.72425249,14.7,1.55305181,47,41,99,0.07819548548132495,0.002303856625447603,0.5317131163057902,0.581248831228901,output\m3_picard_mg_linear\m3_picard_mg_paper_tol_eta0.5_grid128_steps.csv
jacobi_5_5,0.5,128,True,0.5,301,23.10299003,22.7,18.68106312,14.7,1.236706384,41,41,99,0.07819548548131726,0.00230385662544768,0.5317131163058818,0.5812488312289302,output\m3_picard_mg_linear\m3_picard_mg_jacobi_5_5_eta0.5_grid128_steps.csv
