variant,label,eta_target,grid,complete,t_final,t_end,steps,avg_linear,paper_linear,linear_diff,avg_nonlinear,paper_nonlinear,nonlinear_diff,max_linear,max_nonlinear,peak_step,peak_time,peak_eta,max_eta,min_dt,T_min,T_mean,T_max,guard_factor,linear_tol_factor,mg_smoother,mg_pre_smooths,mg_post_smooths,source,reran,elapsed_sec,checkpoint,failure_reason
baseline,baseline,0.1,32,True,0.1,0.1,103,4.223300970873787,3.26,0.963300970873787,4.223300970873787,4.26,-0.036699029126213034,8,8,88,0.043899277783870316,0.0940280152292941,0.10229532280878904,1e-06,1.0,1.040317948096508,2.1862853599015666,,0.003,jacobi,3,3,baseline_checkpoint,False,0.003982700000051409,checkpoints\M3_eta0.1_grid32_methodpicard.npz,
aligned_guard_1p1,jacobi55 + guard1.1,0.1,32,True,0.1,0.1,103,4.233009708737864,3.26,0.9730097087378642,4.233009708737864,4.26,-0.026990291262135813,8,8,88,0.043899277783870316,0.09402801522931246,0.10229532280878681,1e-06,1.0,1.0403179480964646,2.186285359902141,1.1,0.003,jacobi,5,5,fresh_or_cached_run,False,0.0010517999762669206,output\m3_picard_paper_aligned\checkpoints\M3_eta0.1_grid32_picard_aligned_guard_1p1.npz,
baseline,baseline,0.1,64,True,0.1,0.1,129,5.48062015503876,4.09,1.3906201550387598,5.48062015503876,5.69,-0.20937984496124074,9,9,118,0.08615136247356991,0.10020602165558652,0.1046358144330649,1e-06,1.0,1.0838203853882167,4.692406933818575,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0010439000325277448,checkpoints\M3_eta0.1_grid64_methodpicard.npz,
aligned_guard_1p1,jacobi55 + guard1.1,0.1,64,True,0.1,0.1,129,5.48062015503876,4.09,1.3906201550387598,5.48062015503876,5.69,-0.20937984496124074,9,9,118,0.0861513624735406,0.1002060216554649,0.10463581443306799,1e-06,1.0,1.0838203853882353,4.692406933818759,1.1,0.003,jacobi,5,5,fresh_or_cached_run,True,7.530714499996975,output\m3_picard_paper_aligned\checkpoints\M3_eta0.1_grid64_picard_aligned_guard_1p1.npz,
baseline,baseline,0.1,128,True,0.1,0.1,258,8.189922480620154,7.06,1.1299224806201549,8.189922480620154,8.05,0.13992248062015378,12,12,163,0.06895168501716552,0.0991594917438682,0.10623929892165698,1e-06,1.0,1.253252947699086,8.265315920469982,,0.003,jacobi,3,3,baseline_checkpoint,False,0.003228499961551279,checkpoints\M3_eta0.1_grid128_methodpicard.npz,
aligned_guard_1p1,jacobi55 + guard1.1,0.1,128,True,0.1,0.1,258,8.189922480620154,7.06,1.1299224806201549,8.189922480620154,8.05,0.13992248062015378,12,12,163,0.06895168501716072,0.09915949174387001,0.10623929892166198,1e-06,1.0,1.2532529476991354,8.265315920470043,1.1,0.003,jacobi,5,5,fresh_or_cached_run,True,99.02653590001864,output\m3_picard_paper_aligned\checkpoints\M3_eta0.1_grid128_picard_aligned_guard_1p1.npz,
baseline,baseline,0.5,32,True,0.5,0.5,137,8.620437956204379,5.43,3.190437956204379,8.153284671532846,6.43,1.7232846715328467,29,28,108,0.25745591126939354,0.5174076468984864,0.5719221864917003,1e-06,1.0,2.31297362901523,8.800655027747917,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0013018000172451138,checkpoints\M3_eta0.5_grid32_methodpicard.npz,
aligned_guard_1p1,jacobi55 + guard1.1,0.5,32,True,0.5,0.5,140,8.157142857142857,5.43,2.727142857142857,8.157142857142857,6.43,1.7271428571428569,28,28,110,0.262349027442307,0.4976119615372856,0.527263988016672,1e-06,1.0,2.311026714446677,8.800502093332058,1.1,0.003,jacobi,5,5,fresh_or_cached_run,True,3.5885119999875315,output\m3_picard_paper_aligned\checkpoints\M3_eta0.5_grid32_picard_aligned_guard_1p1.npz,
baseline,baseline,0.5,64,True,0.5,0.5,194,18.912371134020617,9.75,9.162371134020617,12.675257731958762,9.49,3.185257731958762,38,34,103,0.14074161947544006,0.5499791570862606,0.5687958409203112,1e-06,1.0,2.771116328037433,8.976672962295456,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0012465000036172569,checkpoints\M3_eta0.5_grid64_methodpicard.npz,
aligned_guard_1p1,jacobi55 + guard1.1,0.5,64,True,0.5,0.5,197,12.568527918781726,9.75,2.818527918781726,12.568527918781726,9.49,3.0785279187817256,30,30,102,0.1260250454416761,0.4804569445271801,0.5479811495230227,1e-06,1.0,2.770099304721672,8.976507869656704,1.1,0.003,jacobi,5,5,fresh_or_cached_run,True,14.796796899987385,output\m3_picard_paper_aligned\checkpoints\M3_eta0.5_grid64_picard_aligned_guard_1p1.npz,
baseline,baseline,0.5,128,True,0.5,0.5,301,32.69435215946844,22.7,9.994352159468438,18.740863787375414,14.7,4.0408637873754145,51,41,99,0.07819548548132495,0.5317131163057902,0.581248831228901,1e-06,1.0,3.0321360494814895,9.045559214093682,,0.003,jacobi,3,3,baseline_checkpoint,False,0.0014516999945044518,checkpoints\M3_eta0.5_grid128_methodpicard.npz,
aligned_guard_1p1,jacobi55 + guard1.1,0.5,128,True,0.5,0.5,304,22.970394736842106,22.7,0.2703947368421069,18.5625,14.7,3.8625000000000007,41,34,98,0.07193346449548177,0.4786222080780046,0.5434907426223962,1e-06,1.0,3.031692010091192,9.045500226813697,1.1,0.003,jacobi,5,5,fresh_or_cached_run,True,98.17027100000996,output\m3_picard_paper_aligned\checkpoints\M3_eta0.5_grid128_picard_aligned_guard_1p1.npz,
