variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,6,4,5.4747029999271035,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,8,5,2.0251421000575647,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,19,5,105.74677979992703,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,36,8,26.950563400052488,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,5,3,0.7459651000099257,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,18,6,1.8005226999521255,
tol_1e-2,M1,0.1,32,True,428,4.787383177570093,2.57,2.217383177570093,4.7827102803738315,3.42,1.3627102803738316,1.0009770395701025,5,5,4.393707899958827,
tol_1e-2,M1,0.5,32,True,147,5.612244897959184,3.35,2.262244897959184,4.238095238095238,3.42,0.8180952380952382,1.3242375601926164,9,5,1.68692510004621,
tol_1e-2,M2,0.1,32,True,7006,8.298458464173565,7.72,0.5784584641735657,4.4618898087353696,4.53,-0.06811019126463069,1.8598528470889315,18,6,113.78888340003323,
tol_1e-2,M2,0.5,32,True,1177,13.61002548853016,14.3,-0.6899745114698401,6.104502973661853,5.29,0.8145029736618525,2.2295059151009045,35,8,26.536650199908763,
tol_1e-2,M3,0.1,32,True,103,3.0679611650485437,2.88,0.18796116504854377,2.621359223300971,3.32,-0.6986407766990288,1.1703703703703703,6,4,0.7671578000299633,
tol_1e-2,M3,0.5,32,True,138,6.268115942028985,4.71,1.5581159420289854,3.3840579710144927,3.66,-0.27594202898550746,1.8522483940042827,18,6,1.8344180999556556,
