variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,gmres_residual_mode,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,true,6,4,5.264679800020531,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,true,8,5,2.308168900082819,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,true,19,5,95.46517039998434,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,true,36,8,26.99379710003268,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,true,5,3,0.7611664000432938,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,true,18,6,1.8389056000160053,
arnoldi_res,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,arnoldi,6,4,3.488242599996738,
arnoldi_res,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,arnoldi,8,5,1.5394570999778807,
arnoldi_res,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,arnoldi,19,5,89.42859160003718,
arnoldi_res,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,arnoldi,36,8,23.922459800029173,
arnoldi_res,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,arnoldi,5,3,0.6813513000961393,
arnoldi_res,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,arnoldi,18,6,1.681992599973455,
