variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,mg_jacobi_omega,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,0.8,6,4,4.722410300048068,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,0.8,8,5,1.9697563999798149,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,0.8,5,3,0.8930579000152647,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,0.8,18,6,2.1012449000263587,
jacobi_2_3,M1,0.1,32,True,428,5.151869158878505,2.57,2.5818691588785048,3.352803738317757,3.42,-0.06719626168224302,1.5365853658536586,q_derivative,True,1.2e-06,0.6666666666666666,6,5,4.784187400015071,
jacobi_2_3,M1,0.5,32,True,147,6.01360544217687,3.35,2.6636054421768702,3.673469387755102,3.42,0.2534693877551022,1.637037037037037,q_derivative,True,1.2e-06,0.6666666666666666,8,4,1.7872647000476718,
jacobi_2_3,M3,0.1,32,True,103,3.4757281553398056,2.88,0.5957281553398057,2.970873786407767,3.32,-0.34912621359223284,1.1699346405228759,q_derivative,True,1.2e-06,0.6666666666666666,5,4,1.180438100011088,
jacobi_2_3,M3,0.5,32,True,138,7.050724637681159,4.71,2.3407246376811592,3.5,3.66,-0.16000000000000014,2.0144927536231885,q_derivative,True,1.2e-06,0.6666666666666666,19,6,2.3105579999973997,
jacobi_1_0,M1,0.1,32,True,428,4.787383177570093,2.57,2.217383177570093,3.2313084112149535,3.42,-0.18869158878504644,1.4815618221258136,q_derivative,True,1.2e-06,1.0,6,4,4.41078210005071,
jacobi_1_0,M1,0.5,32,True,147,5.789115646258503,3.35,2.4391156462585033,3.7823129251700682,3.42,0.3623129251700683,1.5305755395683454,q_derivative,True,1.2e-06,1.0,11,5,1.7547544999979436,
jacobi_1_0,M3,0.1,32,True,103,2.854368932038835,2.88,-0.025631067961164877,2.3009708737864076,3.32,-1.0190291262135922,1.240506329113924,q_derivative,True,1.2e-06,1.0,5,3,0.8235649999696761,
jacobi_1_0,M3,0.5,32,True,138,6.326086956521739,4.71,1.6160869565217393,2.9782608695652173,3.66,-0.6817391304347828,2.124087591240876,q_derivative,True,1.2e-06,1.0,18,6,1.8342599000316113,
