variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,6,4,4.991362200002186,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,8,5,2.787623399985023,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,19,5,94.45641139999498,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,36,8,25.267479500034824,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,5,3,0.6826014000689611,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,18,6,1.7172584000509232,
paper_nl_tol,M1,0.1,32,True,428,4.934579439252336,2.57,2.3645794392523363,3.30607476635514,3.42,-0.11392523364485996,1.4925795053003534,q_derivative,True,1e-06,6,4,3.54069180006627,
paper_nl_tol,M1,0.5,32,True,147,5.938775510204081,3.35,2.5887755102040813,3.891156462585034,3.42,0.47115646258503396,1.5262237762237763,q_derivative,True,1e-06,8,5,1.4488958000438288,
paper_nl_tol,M2,0.1,32,True,7006,8.296745646588638,7.72,0.5767456465886385,4.145304025121325,4.53,-0.38469597487867535,2.001480614282763,q_derivative,True,1e-06,19,5,91.98040499992203,
paper_nl_tol,M2,0.5,32,True,1177,14.926932880203909,14.3,0.626932880203908,5.329651656754461,5.29,0.039651656754460696,2.8007333014506615,q_derivative,True,1e-06,36,8,25.71087740000803,
paper_nl_tol,M3,0.1,32,True,103,2.9902912621359223,2.88,0.11029126213592244,2.3980582524271843,3.32,-0.9219417475728156,1.2469635627530364,q_derivative,True,1e-06,5,3,0.7812721999362111,
paper_nl_tol,M3,0.5,32,True,138,6.5144927536231885,4.71,1.8044927536231885,3.0652173913043477,3.66,-0.5947826086956525,2.1252955082742315,q_derivative,True,1e-06,18,6,1.7696100000757724,
